round,stage,rows_this_stage,rows_total_so_far,duration_seconds,duration_formatted
1,prediction_0shot,200,200,6.961001396179199,0:00:06
2,finetuning,200,200,85.87439966201782,0:01:25
2,prediction_finetuned,200,400,4.336402654647827,0:00:04
3,finetuning,400,600,158.06053614616394,0:02:38
3,prediction_finetuned,200,600,4.26450252532959,0:00:04
4,finetuning,600,1200,233.70684909820557,0:03:53
4,prediction_finetuned,200,800,4.38934326171875,0:00:04
5,finetuning,800,2000,326.2554564476013,0:05:26
5,prediction_finetuned,200,1000,4.385898590087891,0:00:04
6,finetuning,1000,3000,400.6714839935303,0:06:40
6,prediction_finetuned,200,1200,4.527125358581543,0:00:04
7,finetuning,1200,4200,486.5581817626953,0:08:06
7,prediction_finetuned,200,1400,4.342623710632324,0:00:04
8,finetuning,1400,5600,560.4909596443176,0:09:20
8,prediction_finetuned,200,1600,4.702988624572754,0:00:04
9,finetuning,1600,7200,652.2511548995972,0:10:52
9,prediction_finetuned,200,1800,4.617311000823975,0:00:04
10,finetuning,1800,9000,705.3749158382416,0:11:45
10,prediction_finetuned,200,2000,4.340749740600586,0:00:04
11,finetuning,2000,11000,781.260091304779,0:13:01
11,prediction_finetuned,200,2200,4.2973222732543945,0:00:04
12,finetuning,2200,13200,830.631927728653,0:13:50
12,prediction_finetuned,200,2400,4.406961917877197,0:00:04
13,finetuning,2400,15600,944.6554841995239,0:15:44
13,prediction_finetuned,200,2600,4.237849950790405,0:00:04
14,finetuning,2600,18200,997.9444613456726,0:16:37
14,prediction_finetuned,200,2800,4.374719619750977,0:00:04
15,finetuning,2800,21000,1095.206770658493,0:18:15
15,prediction_finetuned,200,3000,4.467123746871948,0:00:04
16,finetuning,3000,24000,1142.1933898925781,0:19:02
16,prediction_finetuned,200,3200,4.553728103637695,0:00:04
17,finetuning,3200,27200,1237.5177972316742,0:20:37
17,prediction_finetuned,200,3400,4.330554008483887,0:00:04
18,finetuning,3400,30600,1273.0383496284485,0:21:13
18,prediction_finetuned,200,3600,4.373322248458862,0:00:04
19,finetuning,3600,34200,1358.1782851219177,0:22:38
19,prediction_finetuned,200,3800,4.32310676574707,0:00:04
20,finetuning,3800,38000,1448.7750270366669,0:24:08
20,prediction_finetuned,200,4000,4.235727310180664,0:00:04
