ID,ID_original,GUID,Date (GMT),URL,Post_Title,Q1,Q2,Q3_1_og,Q3_2_og,Train,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_clean,text_content,image_data_url,final_input,GPT_41_finetune_1,GPT_41_finetune_1_raw,GPT_41_finetune_1_1,GPT_41_finetune_1_2,GPT_41_finetune_1_3,GPT_41_finetune_1_4,GPT_41_finetune_1_5,GPT_41_finetune_1_6,GPT_41_finetune_1_7,GPT_41_finetune_1_8
90,418,2316d663-5dc8-4419-9359-3f591f7d5c84,2018-01-06 20:29:52,https://www.newsmax.com/politics/president-donald-trump-mexico-border-wall-daca/2018/01/06/id/835576/,Trump: 'Mexico Will Pay for the Wall',1,2,6,1,1,1,0,0,0,0,1,0,0,"[1, 0, 0, 0, 0, 1, 0, 0]",Trump: 'Mexico Will Pay for the Wall',,Trump: 'Mexico Will Pay for the Wall',"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1025,4894,c0abb66a-10b8-48bd-989f-e2c40e77c5e3,2018-01-10 15:59:02,https://www.yahoo.com/news/morning-joe-mocks-grandpa-trump-immigration-meeting-kept-134957773.html,‘Morning Joe’ Mocks ‘Grandpa’ Trump’s Immigration Meeting: ‘Kept Wandering’ (Video),1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",‘Morning Joe’ Mocks ‘Grandpa’ Trump’s Immigration Meeting: ‘Kept Wandering’ (Video),,‘Morning Joe’ Mocks ‘Grandpa’ Trump’s Immigration Meeting: ‘Kept Wandering’ (Video),"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
171,825,8101f37b-b6f2-4d11-af41-6219d8bf8333,2018-01-12 02:55:35,http://www.breitbart.com/big-government/2018/01/11/trump-administration-moves-halt-abortion-fourth-illegal-immigrant-teen/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+breitbart+%28breitbart+news%29,Trump Administration Moves to Halt Abortion of Fourth Illegal Immigrant Teen,1,1,4,3,1,0,0,1,1,0,0,0,0,"[0, 0, 1, 1, 0, 0, 0, 0]",Trump Administration Moves to Halt Abortion of Fourth Illegal Immigrant Teen,,Trump Administration Moves to Halt Abortion of Fourth Illegal Immigrant Teen,"[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
389,1868,9c4a7edd-4053-47e7-bdc7-b801b042488b,2018-01-06 01:03:24,https://www.wsj.com/articles/illegal-immigrant-in-san-francisco-killing-sentenced-to-time-served-on-weapons-charge-1515187231,Illegal Immigrant in San Francisco Killing Sentenced to Time Served on Weapons Charge,1,1,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",Illegal Immigrant in San Francisco Killing Sentenced to Time Served on Weapons Charge,,Illegal Immigrant in San Francisco Killing Sentenced to Time Served on Weapons Charge,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0
1594,7346,1f7d467c-9967-45d2-841d-e2c18f39af8c,2018-01-10 17:41:17,http://www.chicagotribune.com/news/nationworld/politics/ct-trump-immigration-dreamers-20180110-story.html,President Trump criticizes federal judge blocking him on immigration,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",President Trump criticizes federal judge blocking him on immigration,,President Trump criticizes federal judge blocking him on immigration,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
417,2000,561b2c21-120e-44f4-86db-8e7aa4c05fe1,2018-01-06 20:32:03,http://dailycaller.com/2018/01/06/trumps-not-letting-go-mexico-will-pay-for-the-wall/,Trump’s Not Letting Go: ‘Mexico Will Pay For The Wall’,1,2,6,1,1,1,0,0,0,0,1,0,0,"[1, 0, 0, 0, 0, 1, 0, 0]",Trump’s Not Letting Go: ‘Mexico Will Pay For The Wall’,,Trump’s Not Letting Go: ‘Mexico Will Pay For The Wall’,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1954,276,3fa9528d-261b-4d70-9c90-eff6e357d743,2018-02-08 15:46:24,http://www.cnn.com/2018/02/08/us/family-kansas-professor-deportation-cnntv/index.html,Son of chemistry professor facing deportation says his father has 'done nothing wrong',1,1,3,99,1,0,0,1,0,0,0,0,0,"[0, 0, 1, 0, 0, 0, 0, 0]",Son of chemistry professor facing deportation says his father has 'done nothing wrong',,Son of chemistry professor facing deportation says his father has 'done nothing wrong',"[0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0]",0,0,1,1,0,0,0,0
1671,7755,d124fb3b-8eed-46ac-85cd-f9723d89b138,2018-01-11 00:00:00,https://www.yahoo.com/news/m/f832e059-4a70-3573-9184-9cdd62fbb3ea/ss_trump%2C-in-vulgar-terms%2C.html,"Trump, in vulgar terms, rejects bipartisan immigration proposal at White House meeting :: WRAL.com",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Trump, in vulgar terms, rejects bipartisan immigration proposal at White House meeting :: WRAL.com",,"Trump, in vulgar terms, rejects bipartisan immigration proposal at White House meeting :: WRAL.com","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
640,3148,681f63e0-efee-4901-98a7-d594051f0953,2018-01-13 10:18:27,http://www.breitbart.com/news/trump-comments-highlight-racial-impact-of-migration-platform/,Trump comments highlight racial impact of migration platform - Breitbart,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Trump comments highlight racial impact of migration platform - Breitbart,,Trump comments highlight racial impact of migration platform - Breitbart,"[0, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0]",0,0,0,1,1,1,0,0
436,2164,5b12811b-545e-4075-a62e-2bee3aa90b28,2018-01-06 22:18:42,http://www.breitbart.com/video/2018/01/06/tucker-carlson-republican-party-gone-toast-makes-deal-dems-daca-chain-migration/,"Tucker Carlson: Republican Party Is Gone, Over, Toast If It Makes Deal With Dems on DACA, Chain Migration",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Tucker Carlson: Republican Party Is Gone, Over, Toast If It Makes Deal With Dems on DACA, Chain Migration",,"Tucker Carlson: Republican Party Is Gone, Over, Toast If It Makes Deal With Dems on DACA, Chain Migration","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
