ID,ID_original,GUID,Date (GMT),URL,Post_Title,Q1,Q2,Q3_1_og,Q3_2_og,Train,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_clean,text_content,image_data_url,final_input,D2_GPT_4o_initial_labeling,D2_GPT_4o_initial_labeling_raw,D2_GPT_4o_initial_labeling_1,D2_GPT_4o_initial_labeling_2,D2_GPT_4o_initial_labeling_3,D2_GPT_4o_initial_labeling_4,D2_GPT_4o_initial_labeling_5,D2_GPT_4o_initial_labeling_6,D2_GPT_4o_initial_labeling_7,D2_GPT_4o_initial_labeling_8
1396,6481,585fc69e-51da-4017-bbfe-e104b8880f52,2018-01-06 09:17:47,https://www.yahoo.com/news/trump-administration-considers-eliminating-immigration-213500134.html,Trump administration considers eliminating immigration policy seen as a lifeline for thousands,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump administration considers eliminating immigration policy seen as a lifeline for thousands,,Trump administration considers eliminating immigration policy seen as a lifeline for thousands,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
354,1728,9d429eec-01ad-4a6d-aad1-5d961d88baa1,2018-01-05 20:42:02,https://www.newsmax.com/newsfront/us-san-francisco-pier-shooting/2018/01/05/id/835469/,Immigrant Acquitted of Killing Is Sentenced for Gun Charge,1,1,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",Immigrant Acquitted of Killing Is Sentenced for Gun Charge,,Immigrant Acquitted of Killing Is Sentenced for Gun Charge,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,1,0
1336,6176,d27c43fa-c5e3-41a0-9f89-ef7922db4bf3,2018-01-14 13:05:06,http://www.latimes.com/nation/sns-bc-eu--europe-migrants-20180114-story.html,Pope: It's a sin if fear makes us hostile to migrants,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",Pope: It's a sin if fear makes us hostile to migrants,,Pope: It's a sin if fear makes us hostile to migrants,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,0,0,0
907,4375,ce5a0f99-1795-4e65-b6f1-6352b753b9c0,2018-01-12 00:14:46,https://www.yahoo.com/news/m/3dfd9bf2-167d-3985-a30d-03476ad1efee/ss_ice-agents-descend-on-dozens.html,ICE agents descend on dozens of 7-Eleven stores in immigration operation,1,2,2,1,1,1,1,0,0,0,0,0,0,"[1, 1, 0, 0, 0, 0, 0, 0]",ICE agents descend on dozens of 7-Eleven stores in immigration operation,,ICE agents descend on dozens of 7-Eleven stores in immigration operation,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0
1291,5956,73c5fca9-683d-4292-9b5a-879f8df0e7b1,2018-01-10 17:20:29,http://www.breitbart.com/big-hollywood/2018/01/10/james-woods-warns-trump-fold-immigration-youre-one-term-president/,"James Woods Warns Trump: 'If You Fold on Immigration, You're a One-Term President'",1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]","James Woods Warns Trump: 'If You Fold on Immigration, You're a One-Term President'",,"James Woods Warns Trump: 'If You Fold on Immigration, You're a One-Term President'","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1275,5902,4fdf4395-1910-4b74-9f1d-e2b70a33a10b,2018-01-10 01:11:59,https://www.newsmax.com/politics/daca-border-wall-funding-congress/2018/01/09/id/836162/,Trump: Wall 'Must'Be Part of Any DACA Deal,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump: Wall 'Must'Be Part of Any DACA Deal,,Trump: Wall 'Must'Be Part of Any DACA Deal,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
940,4520,fde7fb19-8fe6-4b9b-a53f-70e91a55d8f6,2018-01-04 04:39:27,http://dailycaller.com/2018/01/03/tucker-bursts-into-laughter-during-interview-with-dem-congressman-on-immigration-video/,Tucker Bursts Into Laughter During Interview With Dem Congressman On Immigration [VIDEO],1,1,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Tucker Bursts Into Laughter During Interview With Dem Congressman On Immigration [VIDEO],,Tucker Bursts Into Laughter During Interview With Dem Congressman On Immigration [VIDEO],"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1734,8006,bb744fe6-6ed6-4786-8ac0-09b5d96a6ee0,2018-01-09 22:00:32,https://www.yahoo.com/news/trump-suggests-2-phase-immigration-deal-dreamers-175631963--politics.html,Trump presents deal for immigration overhaul,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump presents deal for immigration overhaul,,Trump presents deal for immigration overhaul,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
66,286,bf4ef57d-4dbc-4bd7-9a39-560650b31853,2018-01-04 03:20:42,https://www.newsmax.com/politics/border-wall-budget-government-shutdown-congress/2018/01/03/id/835022/,The Hill: Border Wall Confusion Holds Up Govt Shutdown Talks,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",The Hill: Border Wall Confusion Holds Up Govt Shutdown Talks,,The Hill: Border Wall Confusion Holds Up Govt Shutdown Talks,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
1048,4993,928ded16-8c65-48f3-8963-dc7e3228ae2d,2018-01-11 04:20:55,https://www.huffingtonpost.com/entry/democrats-daca-shutdown_us_5a56b1fee4b0a300f905b6f2,"Democrats, GOP Far Apart On Immigration Deal, Raising Government Shutdown Risk",1,2,7,99,1,0,0,0,0,0,0,1,0,"[0, 0, 0, 0, 0, 0, 1, 0]","Democrats, GOP Far Apart On Immigration Deal, Raising Government Shutdown Risk",,"Democrats, GOP Far Apart On Immigration Deal, Raising Government Shutdown Risk","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
